6.2642,6.3153,6.5183,6.5942,6.8490,7.4011,7.9059,8.5541,9.2980,10.5302,11.3447,10.8087,10.7448,10.5342,9.4187,8.2728,8.2255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.3070,6.1827,6.4269,6.4511,6.1574,6.1988,6.8732,7.4257,8.7021,9.9306,10.7527,10.9515,11.0586,10.7534,11.0397,9.9942,9.0117,9.3148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0390,5.9568,6.0731,6.2893,5.9486,5.5815,6.0177,7.0570,8.4130,9.6265,10.6346,11.0391,11.0075,10.4127,10.4175,10.1582,9.3727,8.4543,8.4890,NaN,NaN,NaN,NaN,NaN,3.3762,2.7708,NaN,NaN,NaN,NaN
6.0356,5.8581,5.7437,5.9474,6.1565,6.1468,6.7924,7.8288,8.7453,9.3894,10.0474,10.3330,10.2347,9.9315,9.8851,10.2220,10.0189,9.1633,9.0923,8.1005,NaN,NaN,NaN,NaN,3.7846,NaN,NaN,NaN,NaN,NaN
5.8923,5.6735,5.6648,5.8141,5.9614,6.2732,6.9045,7.9581,8.6687,8.7334,8.9003,9.2800,9.5436,9.7948,9.8364,10.2530,10.5592,9.8154,9.3796,8.7124,8.7740,NaN,NaN,3.8138,3.6527,NaN,NaN,NaN,NaN,NaN
5.8334,5.6049,5.3684,5.5393,5.6235,5.7299,6.2575,7.4380,8.0642,8.0451,8.3866,8.8468,9.2779,10.1065,10.4911,10.4079,10.3803,10.0910,9.7408,8.9355,8.8028,8.8070,7.4685,5.4256,4.2972,NaN,NaN,NaN,NaN,NaN
5.6534,5.4746,5.3073,5.2050,5.2068,5.4822,5.9397,6.6627,7.3480,7.7125,8.3185,8.6922,9.2851,9.9374,10.2297,9.9790,10.0265,9.9964,9.7150,8.9617,8.6323,8.6758,7.3172,5.5548,4.8406,NaN,NaN,NaN,NaN,NaN
5.5749,5.3436,5.1656,5.0193,4.9687,5.1862,5.6841,6.1451,6.7784,7.3363,7.7726,8.3454,9.0441,9.6088,10.0507,9.6320,9.5995,9.7602,10.0991,9.1274,8.2204,7.7703,6.5454,5.4115,4.8792,NaN,NaN,NaN,NaN,NaN
5.6079,5.4728,5.2067,4.9683,4.6881,5.0239,5.4182,6.0321,6.5732,7.0356,7.3459,7.8797,8.5845,9.2715,9.9258,9.5882,9.5977,9.8799,9.9888,9.0401,8.3155,7.6331,6.4345,5.2653,4.7050,NaN,NaN,NaN,NaN,NaN
5.6184,5.4381,5.1287,4.8977,4.6557,4.6567,5.0177,5.7342,6.3079,6.7686,7.2745,7.8174,8.2746,8.9638,9.5235,9.5931,9.6753,9.9334,9.6784,8.8303,8.7555,8.4200,7.1300,5.9795,5.1548,NaN,NaN,NaN,NaN,NaN
5.4505,5.3669,5.0702,4.6914,4.5562,4.7395,4.9915,5.4173,5.9128,6.5909,6.9333,7.4424,8.0690,8.5299,9.1589,9.3570,9.7340,9.8261,9.6284,9.1467,8.9950,8.4568,7.6098,6.7699,5.8895,NaN,NaN,NaN,NaN,NaN
5.3061,5.1025,4.9448,4.6920,4.4023,4.5263,4.7012,5.0303,5.5985,6.1445,6.6168,7.2780,7.8634,8.2758,8.9456,9.4439,9.5559,9.7227,9.7647,9.3305,8.7604,8.1359,7.6816,6.9633,7.2699,NaN,NaN,NaN,NaN,NaN
5.0470,4.8457,4.7288,4.6655,4.3497,4.2142,4.4074,4.8962,5.2973,5.9197,6.4516,7.0308,7.5733,8.2056,8.8168,9.1536,9.3238,9.5782,9.5552,9.3981,8.7646,8.1171,7.7104,8.1509,NaN,NaN,NaN,NaN,NaN,NaN
4.7656,4.6741,4.5180,4.4250,4.4067,4.2308,4.3851,4.7525,5.1541,5.8244,6.3582,6.9711,7.4197,8.0846,8.5973,8.9655,9.1911,9.3644,9.4137,9.2209,8.6974,8.2956,7.7442,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.5606,4.4804,4.3314,4.3211,4.3090,4.4401,4.4493,4.4378,4.9817,5.5896,6.2081,6.8151,7.3262,7.9501,8.4715,8.8342,9.0787,9.2744,9.1596,8.9618,8.6161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
